"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"173","Center","male","25-34",0,2,-2,-2,2,-2,"1",NA,-2,-2,-1
"174","Jerusalem","male","25-34",1,1,-1,1,1,-1,"1",-2,-2,1,-2
"175","North","male","25-34",-1,0,-2,2,2,-2,"0",-2,-2,-2,2
"176","North","male","25-34",0,0,-1,1,1,-1,"1",-1,-1,-1,-1
"177","Center","female","25-34",0,1,1,1,2,2,"0",-2,-2,-1,1
"178","North","male","25-34",0,1,-2,-1,2,-2,"1",1,-2,-2,-2
"179","Center","male","25-34",1,2,-1,1,2,-2,"1",-2,2,2,-2
"180","South","female","25-34",1,1,1,2,2,2,"0",1,-2,-1,-1
"181","North","female","25-34",-2,0,-2,1,-2,2,"1",1,-1,-2,2
"182","North","male","25-34",-2,1,-2,1,2,-2,"1",2,-2,-1,-2
"183","North","female","25-34",0,1,-2,1,1,2,"1",1,-1,-1,-1
"184","Center","female","25-34",0,2,-1,-2,-2,2,"1",1,-1,1,1
"185","Center","female","25-34",-2,-2,-2,-1,1,2,"1",2,-1,-2,2
"186","Tel Aviv","male","25-34",0,1,-1,2,2,2,"0",-1,-2,-1,1
"187","Center","female","25-34",-2,-1,-2,2,1,-2,"1",1,-1,-1,1
"188","Jerusalem","male","25-34",-2,0,-1,-2,-1,1,"1",2,NA,-2,NA
"189","Haifa","female","25-34",1,2,-1,1,1,1,"NA",-2,-1,-1,1
"190","Tel Aviv","male","25-34",1,2,-2,2,2,2,"1",2,-2,-2,2
"191","South","female","25-34",-1,0,-1,1,-2,1,"1",-2,-1,-1,-1
"192","Jerusalem","male","25-34",0,0,1,1,2,2,"2",NA,-1,-1,1
"193","South","female","25-34",1,0,-1,2,2,2,"0",1,-2,1,-2
"194","Tel Aviv","male","25-34",-1,0,-2,2,2,-1,"1",-2,1,-1,-2
"195","Tel Aviv","female","25-34",0,2,-1,2,-1,1,"0",1,-2,NA,1
"196","Jerusalem","male","25-34",0,1,-2,1,2,-1,"1",-1,-1,-1,1
"197","Tel Aviv","female","25-34",1,1,1,2,2,-2,"1",-2,-2,2,-2
"198","North","male","25-34",1,1,1,1,2,2,"2",1,-1,-2,2
"199","Haifa","male","25-34",2,2,2,2,2,1,"1",-2,-1,-1,1
"200","Center","male","25-34",1,1,-1,1,2,-1,"2",-2,-2,-2,1
"201","North","male","25-34",0,1,-2,1,-1,-2,"1",-2,-1,2,-2
"202","Tel Aviv","male","35-44",0,0,-2,2,2,2,"0",1,-1,-2,-2
"203","North","male","35-44",1,1,NA,2,2,2,"2",2,2,-2,2
"204","Haifa","female","35-44",0,1,-2,1,-2,-1,"2",-2,2,-2,2
"205","Tel Aviv","female","35-44",-2,1,-2,NA,NA,2,"2",2,2,-2,2
"206","South","female","35-44",-1,0,-2,-1,1,2,"2",2,-1,-2,2
"207","South","female","35-44",-1,1,-2,1,1,2,"2",2,-2,-2,1
"208","North","female","35-44",-2,2,-2,-2,-1,2,"2",NA,2,-1,-1
"209","Jerusalem","female","35-44",-2,2,-2,-2,-2,-1,"2",-1,1,-2,2
"210","North","female","35-44",0,0,-2,2,2,2,"2",1,2,-2,1
"211","Center","female","35-44",-1,2,-2,-1,-2,2,"2",1,2,-2,2
"212","Tel Aviv","female","35-44",-1,1,-1,-1,-2,2,"2",1,-1,-2,1
"213","Haifa","female","35-44",0,1,-1,NA,2,2,"2",2,1,-2,2
"214","North","female","35-44",-2,2,-2,2,2,NA,"2",-2,-1,-2,-1
