"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q27_1","Q27_2"
"126","South","male","25-34",1,1,-1,1,1,0,-1,0,0,-2,-1,-1,-1,-1,-1,-1,0,0,-1,1,-1,-1,0,1,-1,-1,-1
"127","Tel Aviv","male","25-34",2,2,1,1,1,-2,1,1,0,-2,-2,-2,0,-2,1,0,0,1,-2,1,-2,1,-2,1,1,-1,-2
"128","Jerusalem","female","25-34",1,1,0,1,1,0,-1,1,1,-2,-1,-2,-1,-2,-2,-1,1,0,-1,1,-2,-2,-1,-1,-2,0,-1
"129","Center","male","25-34",0,0,-1,0,1,0,-2,1,0,0,0,-1,0,-2,0,-1,-1,0,1,-1,-2,-2,1,0,0,0,-1
"130","Center","female","25-34",0,1,0,1,1,0,0,-1,0,-2,-1,-2,-1,-2,-1,-1,-2,-1,0,0,-2,0,-1,-2,-2,-1,-1
"131","Tel Aviv","male","25-34",1,0,-1,-2,1,1,-1,NA,0,NA,0,-1,0,-2,0,-2,-1,0,-1,-2,0,-1,0,1,-1,NA,-1
"132","Tel Aviv","female","25-34",1,-1,-2,NA,1,0,-2,-1,-1,0,1,1,0,-2,-1,-1,-1,-2,-2,-1,-2,-2,1,0,1,1,-2
"133","Tel Aviv","male","25-34",0,2,0,-1,1,-1,-2,-1,-1,-1,0,-2,0,-2,0,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,-1
"134","South","male","25-34",1,2,0,1,1,0,-1,0,-1,-1,0,-2,-1,-2,-1,-1,0,NA,0,-1,-2,0,-1,0,-2,-1,-1
"135","South","female","25-34",0,1,-1,1,1,0,-1,0,0,-1,-1,-2,0,-2,-1,-1,-1,0,0,1,-1,-1,0,0,0,-1,0
"136","Center","female","25-34",0,0,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,-1,0,0,0,0,-2,-1,-1,-1,-1,-1,-1,0,0
